,Brand Identity + Positioning,Logo Design,Video + Photography,Art + Illustration,Product Design (UX/UI),CX,Interior Design,Original Naming,Physical Goods Development + Design,Print + Packaging,Editorial Content,Organic + Paid Social Content,Interviews,Writing + Editing,Quiz Development,Signage + Display,Qualitative Research,Surprise + Delight,Visual Identity,Theatrics
Ample,X,,X,X,X,X,X,X,,X,X,X,X,X,,X,,X,X,X
Wizehire,X,X,X,X,X,X,,,,,,X,X,X,,X,,X,X,X
MVC,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X
Lockwood,X,X,X,X,X,X,X,,X,X,,X,,X,X,X,,X,X,X
Puzzle Palace,X,X,,X,X,,,X,,,,,,X,,,,X,X,
Week&,X,X,X,X,X,,,X,,,,X,,X,,,X,X,X,
Comics Kingdom,X,X,X,X,X,,,,,X,,X,X,X,,,X,X,X,X
Sage,X,X,,X,X,,,,,X,,X,X,X,,,X,X,X,
Dance Party Time,X,X,X,X,,,,,,,,,,X,,,,X,X,
Kindra,X,,X,X,X,X,,,X,X,X,X,,X,X,,,X,X,X
Nightingale Vets,X,X,X,X,X,X,,,,,,,,X,,,,X,X,
Pearly Bites,X,X,,X,X,X,X,,,X,,X,,X,,X,,X,X,X
Fab,X,,X,X,X,X,X,,X,X,X,X,X,X,,,X,X,X,X
The Curve Report,X,,X,X,,,,,X,X,X,,X,X,,,X,X,X,
Say More,X,X,X,X,,X,,X,X,X,X,X,X,X,,,,X,X,
Discovery Channel,X,,X,,X,X,,,,,X,,,,,,X,X,X,
Horowitz Real Estate,X,X,X,X,X,X,,,,X,,X,X,X,,,,X,X,
6 Feet Apart,X,X,X,X,,,,X,X,X,,,,X,,X,,X,X,
Magnolia,X,,,,X,X,,,,,,X,,X,,,X,X,X,
Pet Dermatology Center,X,X,,X,,,X,,,,,,,,,,,X,X,
Genius Kitchen,X,,,X,X,X,,,,,,,,,,,X,X,X,
Bluprint,X,X,X,X,X,X,X,X,X,X,,X,,X,,,X,X,X,
Firefly Vets,X,X,,,,,X,,,,,,,,,,,X,X,
HGTV,X,X,,X,X,X,,,,,,,,,,,X,X,X,
Custom Illustrations,,,,X,,,,,X,,,,,,,,,X,,
Photography Direction,,,X,,,,X,,,,X,X,,,,,,X,,
Top Secret Archive,X,X,X,X,X,X,,,X,X,,,,X,,,X,X,X,
Presentation Magic,X,,,X,,,,,,,,,,X,,,,X,,
In Words Only,X,,X,,,,,X,,,X,X,,X,,X,,X,,
See Sarah Dance,X,,X,,,,,,,,,,,X,,,,X,,X
NBCUniversal Upfronts,X,,X,,X,X,,,,X,,,X,,,X,,X,X,
Apt Therapy,,,,,,,X,,,,X,,X,X,,,,X,,X